M	misValperc Kcol_min	Kcol_max	Nrow_min	Nrow_max	
3000	0	5	15	60	80
3000	10	5	15	60	80
3000	20	5	15	60	80
3000	30	5	15	60	80
3000	40	5	15	60	80
3000	0	5	15	100	100
3000	10	5	15	100	100
3000	20	5	15	100	100
3000	30	5	15	100	100
3000	40	5	15	100	100
3000	0	15	30	60	80
3000	10	15	30	60	80
3000	20	15	30	60	80
3000	30	15	30	60	80
3000	40	15	30	60	80
3000	0	15	30	100	100
3000	10	15	30	100	100
3000	20	15	30	100	100
3000	30	15	30	100	100
3000	40	15	30	100	100
3000	0	30	50	60	80
3000	10	30	50	60	80
3000	20	30	50	60	80
3000	30	30	50	60	80
3000	40	30	50	60	80
3000	0	30	50	100	100
3000	10	30	50	100	100
3000	20	30	50	100	100
3000	30	30	50	100	100
3000	40	30	50	100	100
