M	misValperc Kcol_min	Kcol_max	Nrow_min	Nrow_max
100	0	30	50	100	100
100	0	15	30	60	80
100	0	30	50	60	80
100	10	5	15	100	100
100	10	15	30	100	100
100	10	30	50	100	100
100	10	5	15	60	80
100	10	15	30	60	80
100	10	30	50	60	80
100	20	5	15	100	100
100	20	15	30	100	100
100	20	30	50	100	100
100	20	5	15	60	80
100	20	15	30	60	80
100	20	30	50	60	80
100	30	5	15	100	100
100	30	15	30	100	100
100	30	30	50	100	100
100	30	5	15	60	80
100	30	15	30	60	80
100	30	30	50	60	80
100	40	5	15	100	100
100	40	15	30	100	100
100	40	30	50	100	100
100	40	5	15	60	80
100	40	15	30	60	80
100	40	30	50	60	80
100	0	5	15	100	100
100	0	15	30	100	100
100	0	5	15	60	80
